EmployeeID,BasicSalary,Bonus,Tax,NetSalary
1101,130489,4832,13532,121789
1102,113604,14978,12858,115724
1103,49275,14547,6382,57440
1104,45288,2481,4776,42993
1105,129431,7102,13653,122880
1106,83924,11376,9530,85770
1107,115063,14864,12992,116935
1108,49942,7838,5778,52002
1109,34202,14089,4829,43462
1110,63411,4883,6829,61465
1111,117679,10140,12781,115038
1112,25877,2714,2859,25732
1113,93907,7464,10137,91234
1114,76264,2712,7897,71079
1115,61789,4147,6593,59343
1116,27465,3274,3073,27666
1117,85454,13095,9854,88695
1118,120328,9787,13011,117104
1119,139300,10462,14976,134786
1120,102407,4900,10730,96577
1121,148287,8409,15669,141027
1122,87119,12855,9997,89977
1123,48251,14097,6234,56114
1124,97345,14730,11207,100868
1125,95691,3896,9958,89629
1126,145800,9694,15549,139945
1127,138641,5865,14450,130056
1128,102386,7321,10970,98737
1129,128086,3864,13195,118755
1130,80829,2734,8356,75207
1131,27952,13216,4116,37052
1132,35632,4647,4027,36252
1133,131614,14541,14615,131540
1134,142201,6226,14842,133585
1135,51391,12823,6421,57793
1136,115928,13670,12959,116639
1137,80954,4206,8516,76644
1138,140043,2938,14298,128683
1139,88410,6414,9482,85342
1140,126434,12779,13921,125292
1141,44647,8613,5326,47934
1142,130341,11996,14233,128104
1143,74496,5378,7987,71887
1144,58189,4019,6220,55988
1145,92649,11475,10412,93712
1146,119978,12637,13261,119354
1147,72389,9720,8210,73899
1148,70912,3626,7453,67085
1149,145615,7292,15290,137617
1150,137813,9421,14723,132511
1151,127850,7945,13579,122216
1152,136909,10758,14766,132901
1153,64451,10799,7525,67725
1154,127368,12870,14023,126215
1155,144349,14299,15864,142784
1156,52955,10636,6359,57232
1157,148581,4354,15293,137642
1158,98524,11570,11009,99085
1159,99450,14444,11389,102505
1160,39709,5581,4529,40761
1161,118848,13560,13240,119168
1162,34985,10231,4521,40695
1163,131360,6557,13791,124126
1164,90031,4603,9463,85171
1165,53556,4972,5852,52676
1166,115153,7928,12308,110773
1167,41796,12271,5406,48661
1168,113351,7825,12117,109059
1169,109004,12273,12127,109150
1170,91788,10001,10178,91611
1171,92121,6145,9826,88440
1172,75132,10364,8549,76947
1173,126000,8615,13461,121154
1174,141019,3885,14490,130414
1175,135160,8080,14324,128916
1176,106503,5107,11161,100449
1177,126911,6316,13322,119905
1178,45724,3510,4923,44311
1179,144156,7750,15190,136716
1180,128316,9979,13829,124466
1181,122804,4892,12769,114927
1182,120677,8676,12935,116418
1183,75728,14978,9070,81636
1184,139941,10443,15038,135346
1185,137395,10433,14782,133046
1186,96055,9672,10572,95155
1187,44866,8199,5306,47759
1188,49197,3552,5274,47475
1189,85378,14731,10010,90099
1190,81186,4923,8610,77499
1191,49035,14725,6376,57384
1192,78129,6416,8454,76091
1193,89267,2055,9132,82190
1194,117124,6956,12408,111672
1195,74145,5349,7949,71545
1196,48331,13639,6197,55773
1197,113574,12959,12653,113880
1198,103918,9896,11381,102433
1199,97580,3434,10101,90913
1200,85796,12760,9855,88701
1201,97540,4338,10187,91691
1202,142022,4347,14636,131733
1203,87736,3713,9144,82305
1204,101311,5138,10644,95805
1205,99689,5413,10510,94592
1206,61004,13534,7453,67085
1207,79370,2271,8164,73477
1208,81646,2317,8396,75567
1209,88425,6886,9531,85780
1210,105641,7336,11297,101680
1211,46892,5121,5201,46812
1212,48586,6053,5463,49176
1213,117270,11526,12879,115917
1214,77523,3772,8129,73166
1215,43138,11703,5484,49357
1216,57155,5213,6236,56132
1217,27624,5553,3317,29860
1218,108698,2525,11122,100101
1219,120381,9012,12939,116454
1220,130285,6052,13633,122704
1221,57089,10605,6769,60925
1222,63209,3296,6650,59855
1223,66827,11852,7867,70812
1224,30063,3514,3357,30220
1225,92838,13427,10626,95639
1226,105850,13615,11946,107519
1227,57088,8677,6576,59189
1228,60196,13006,7320,65882
1229,37889,2116,4000,36005
1230,100883,7639,10852,97670
1231,74780,12617,8739,78658
1232,93973,11470,10544,94899
1233,104921,2411,10733,96599
1234,56667,4101,6076,54692
1235,120790,14947,13573,122164
1236,63246,11794,7504,67536
1237,87764,13704,10146,91322
1238,60929,5948,6687,60190
1239,30146,3433,3357,30222
1240,97174,9124,10629,95669
1241,64739,3859,6859,61739
1242,26704,5029,3173,28560
1243,105759,14851,12061,108549
1244,92696,5953,9864,88785
1245,54394,10610,6500,58504
1246,38891,13008,5189,46710
1247,115257,4947,12020,108184
1248,94352,8742,10309,92785
1249,50087,6582,5666,51003
1250,114794,6475,12126,109143
1251,143341,4748,14808,133281
1252,104929,6794,11172,100551
1253,67490,9289,7677,69102
1254,87180,13315,10049,90446
1255,34982,4756,3973,35765
1256,59915,5540,6545,58910
1257,92367,13325,10569,95123
1258,48814,11876,6069,54621
1259,147754,8983,15673,141064
1260,51770,7939,5970,53739
1261,49371,12262,6163,55470
1262,126168,4425,13059,117534
1263,73362,13622,8698,78286
1264,65467,7801,7326,65942
1265,93944,11298,10524,94718
1266,71905,14149,8605,77449
1267,38283,4132,4241,38174
1268,60673,13844,7451,67066
1269,80813,4303,8511,76605
1270,52977,8704,6168,55513
1271,35097,9832,4492,40437
1272,105372,8421,11379,102414
1273,87814,7761,9557,86018
1274,48921,6482,5540,49863
1275,61500,12324,7382,66442
1276,126543,12329,13887,124985
1277,54428,14933,6936,62425
1278,40371,5493,4586,41278
1279,59037,2989,6202,55824
1280,71839,8981,8082,72738
1281,122319,3311,12563,113067
1282,105391,5629,11102,99918
1283,31822,6108,3793,34137
1284,63966,5880,6984,62862
1285,118037,10601,12863,115775
1286,131310,6194,13750,123754
1287,136814,5481,14229,128066
1288,33419,6139,3955,35603
1289,53587,11951,6553,58985
1290,29178,5983,3516,31645
1291,71362,5084,7644,68802
1292,98536,11709,11024,99221
1293,26365,10361,3672,33054
1294,102255,11407,11366,102296
1295,140791,6918,14770,132939
1296,53393,11037,6443,57987
1297,41152,8327,4947,44532
1298,115267,2285,11755,105797
1299,72024,10822,8284,74562
1300,34924,14196,4912,44208
1301,112926,5481,11840,106567
1302,113114,2782,11589,104307
1303,25386,2772,2815,25343
1304,75214,4581,7979,71816
1305,110759,14676,12543,112892
1306,76401,7327,8372,75356
1307,50038,5144,5518,49664
1308,95237,8999,10423,93813
1309,30051,9763,3981,35833
1310,40180,12940,5312,47808
1311,47001,10834,5783,52052
1312,103353,5938,10929,98362
1313,133852,7725,14157,127420
1314,79851,2669,8252,74268
1315,101650,10633,11228,101055
1316,93113,7852,10096,90869
1317,147937,4949,15288,137598
1318,109086,6260,11534,103812
1319,136157,2559,13871,124845
1320,37455,14019,5147,46327
1321,37425,11933,4935,44423
1322,140930,12870,15380,138420
1323,90953,7644,9859,88738
1324,25209,7907,3311,29805
1325,134779,5896,14067,126608
1326,127843,11549,13939,125453
1327,31624,10900,4252,38272
1328,66179,9537,7571,68145
1329,106296,9173,11546,103923
1330,121937,7546,12948,116535
1331,29913,5403,3531,31785
1332,64627,13253,7788,70092
1333,78330,4082,8241,74171
1334,117660,3062,12072,108650
1335,147315,13039,16035,144319
1336,70855,11564,8241,74178
1337,148633,12288,16092,144829
1338,48270,12206,6047,54429
1339,97383,6820,10420,93783
1340,47559,5443,5300,47702
1341,32762,13768,4653,41877
1342,139726,14818,15454,139090
1343,57024,11244,6826,61442
1344,136830,8598,14542,130886
1345,93866,6267,10013,90120
1346,44719,8603,5332,47990
1347,90906,14698,10560,95044
1348,74556,4942,7949,71549
1349,86385,13880,10026,90239
1350,96170,7891,10406,93655
1351,98968,7611,10657,95922
1352,48126,8116,5624,50618
1353,123367,13801,13716,123452
1354,140086,3676,14376,129386
1355,52699,9147,6184,55662
1356,122581,10953,13353,120181
1357,86008,5019,9102,81925
1358,75098,10164,8526,76736
1359,95491,7287,10277,92501
1360,45745,11129,5687,51187
1361,83587,2481,8606,77462
1362,142118,9394,15151,136361
1363,106756,5525,11228,101053
1364,100276,3792,10406,93662
1365,135666,11587,14725,132528
1366,111664,3087,11475,103276
1367,145705,13141,15884,142962
1368,71475,9950,8142,73283
1369,100687,11788,11247,101228
1370,81706,5468,8717,78457
1371,80899,6898,8779,79018
1372,111132,10393,12152,109373
1373,42664,10947,5361,48250
1374,49942,2800,5274,47468
1375,45954,6973,5292,47635
1376,42248,13348,5559,50037
1377,87373,11703,9907,89169
1378,85693,2443,8813,79323
1379,103735,11707,11544,103898
1380,105059,8698,11375,102382
1381,27538,9614,3715,33437
1382,116362,8081,12444,111999
1383,88841,4500,9334,84007
1384,116064,4444,12050,108458
1385,128339,8586,13692,123233
1386,142207,7035,14924,134318
1387,73708,8301,8200,73809
1388,139685,6055,14574,131166
1389,142769,6344,14911,134202
1390,107782,14022,12180,109624
1391,78128,10177,8830,79475
1392,137177,13681,15085,135773
1393,140792,3034,14382,129444
1394,121267,13059,13432,120894
1395,122175,14215,13639,122751
1396,116872,14511,13138,118245
1397,130348,4042,13439,120951
1398,60294,7591,6788,61097
1399,105650,2485,10813,97322
1400,109714,2939,11265,101388
1401,144862,13438,15830,142470
1402,80991,5665,8665,77991
1403,94874,8434,10330,92978
1404,42384,9510,5189,46705
1405,115525,7020,12254,110291
1406,124605,10124,13472,121257
1407,61071,12227,7329,65969
1408,62989,3328,6631,59686
1409,111182,6225,11740,105667
1410,39049,14412,5346,48115
1411,95678,3607,9928,89357
1412,64120,14492,7861,70751
1413,49235,11231,6046,54420
1414,105569,9284,11485,103368
1415,124960,8803,13376,120387
1416,41146,4821,4596,41371
1417,89154,3606,9276,83484
1418,130376,4065,13444,120997
1419,130221,2790,13301,119710
1420,52383,13355,6573,59165
1421,37497,10310,4780,43027
1422,96267,8461,10472,94256
1423,35145,4311,3945,35511
1424,108628,8888,11751,105765
1425,30034,8377,3841,34570
1426,70739,13355,8409,75685
1427,65716,13780,7949,71547
1428,61382,2622,6400,57604
1429,46426,13695,6012,54109
1430,43602,4688,4829,43461
1431,53766,4237,5800,52203
1432,42549,11391,5394,48546
1433,91856,12092,10394,93554
1434,126640,6388,13302,119726
1435,116403,4813,12121,109095
1436,136953,4564,14151,127366
1437,126089,10525,13661,122953
1438,85365,3511,8887,79989
1439,62304,2091,6439,57956
1440,61694,9622,7131,64185
1441,77199,5493,8269,74423
1442,144502,9995,15449,139048
1443,95088,12114,10720,96482
1444,125945,10620,13656,122909
1445,73008,3756,7676,69088
1446,110134,4627,11476,103285
1447,95927,5694,10162,91459
1448,67354,4175,7152,64377
1449,90373,7257,9763,87867
1450,75033,4083,7911,71205
1451,83651,6284,8993,80942
1452,27027,12108,3913,35222
1453,138379,11362,14974,134767
1454,116167,6820,12298,110689
1455,31477,4974,3645,32806
1456,93566,3992,9755,87803
1457,82182,11347,9352,84177
1458,30757,13672,4442,39987
1459,143282,13318,15660,140940
1460,137487,6281,14376,129392
1461,32155,7959,4011,36103
1462,106525,12641,11916,107250
1463,25224,12889,3811,34302
1464,81437,10462,9189,82710
1465,75556,3875,7943,71488
1466,42285,12460,5474,49271
1467,70607,3376,7398,66585
1468,79723,11958,9168,82513
1469,118123,12399,13052,117470
1470,78172,12092,9026,81238
1471,112447,14309,12675,114081
1472,124474,9939,13441,120972
1473,129149,2566,13171,118544
1474,35961,5302,4126,37137
1475,35988,7354,4334,39008
1476,114041,2377,11641,104777
1477,38680,3868,4254,38294
1478,73293,9069,8236,74126
1479,29876,3770,3364,30282
1480,145425,5346,15077,135694
1481,40693,9694,5038,45349
1482,48583,14337,6292,56628
1483,130906,3021,13392,120535
1484,69456,7259,7671,69044
1485,142993,13305,15629,140669
1486,118881,9796,12867,115810
1487,35732,5424,4115,37041
1488,84832,8059,9289,83602
1489,75744,3976,7972,71748
1490,77295,9313,8660,77948
1491,148209,5697,15390,138516
1492,74608,12080,8668,78020
1493,57956,4857,6281,56532
1494,41268,2681,4394,39555
1495,47361,6568,5392,48537
1496,70979,9896,8087,72788
1497,109084,12504,12158,109430
1498,49253,14860,6411,57702
1499,63832,3141,6697,60276
1500,100381,13773,11415,102739
1501,82867,7764,9063,81568
1502,26017,4477,3049,27445
1503,61505,8863,7036,63332
1504,56438,12935,6937,62436
1505,54985,11865,6685,60165
1506,112423,10699,12312,110810
1507,66530,2265,6879,61916
1508,75620,7804,8342,75082
1509,100731,10381,11111,100001
1510,130446,3390,13383,120453
1511,95732,14704,11043,99393
1512,69914,11512,8142,73284
1513,96210,7625,10383,93452
1514,143920,8645,15256,137309
1515,79465,10941,9040,81366
1516,147903,8541,15644,140800
1517,49367,3166,5253,47280
1518,74767,9406,8417,75756
1519,125342,9215,13455,121102
1520,73318,8458,8177,73599
1521,110460,9921,12038,108343
1522,53452,8212,6166,55498
1523,95226,3752,9897,89081
1524,38655,4280,4293,38642
1525,35367,14924,5029,45262
1526,58952,4093,6304,56741
1527,69502,7854,7735,69621
1528,135228,4619,13984,125863
1529,103334,5610,10894,98050
1530,100583,3635,10421,93797
1531,44634,10483,5511,49606
1532,92693,3906,9659,86940
1533,88580,12148,10072,90656
1534,129870,14896,14476,130290
1535,132383,3637,13602,122418
1536,102748,13903,11665,104986
1537,89100,7141,9624,86617
1538,123775,7211,13098,117888
1539,65432,7437,7286,65583
1540,43717,6347,5006,45058
1541,61670,12982,7465,67187
1542,94498,9718,10421,93795
1543,66430,8814,7524,67720
1544,67267,14047,8131,73183
1545,76286,3678,7996,71968
1546,128305,12296,14060,126541
1547,136810,14958,15176,136592
1548,51801,14053,6585,59269
1549,49806,4053,5385,48474
1550,81637,9630,9126,82141
1551,26751,6966,3371,30346
1552,122445,2935,12538,112842
1553,106613,4252,11086,99779
1554,78642,13567,9220,82989
1555,79150,5168,8431,75887
1556,57840,12519,7035,63324
1557,135963,2210,13817,124356
1558,91721,10289,10201,91809
1559,59788,12567,7235,65120
1560,68087,8897,7698,69286
1561,94568,3396,9796,88168
1562,56241,9947,6618,59570
1563,33214,11087,4430,39871
1564,40612,12128,5274,47466
1565,82860,7152,9001,81011
1566,138786,4331,14311,128806
1567,46750,4767,5151,46366
1568,32162,7687,3984,35865
1569,110743,11501,12224,110020
1570,29120,10959,4007,36072
1571,53982,8471,6245,56208
1572,107623,6622,11424,102821
1573,136432,8334,14476,130290
1574,148397,10646,15904,143139
1575,128860,5192,13405,120647
1576,67656,6573,7422,66807
1577,95849,5558,10140,91267
1578,133015,10651,14366,129300
1579,120063,14720,13478,121305
1580,146839,10578,15741,141676
1581,143544,7542,15108,135978
1582,38095,7073,4516,40652
1583,128476,4939,13341,120074
1584,55187,7012,6219,55980
1585,120245,9905,13015,117135
1586,107141,5210,11235,101116
1587,57827,8338,6616,59549
1588,40219,11694,5191,46722
1589,112515,3736,11625,104626
1590,125469,12551,13802,124218
1591,127122,4031,13115,118038
1592,57477,10208,6768,60917
1593,106008,8408,11441,102975
1594,127645,6642,13428,120859
1595,92692,3919,9661,86950
1596,127949,14688,14263,128374
1597,123739,13655,13739,123655
1598,110151,3140,11329,101962
1599,72881,6667,7954,71594
1600,136774,9654,14642,131786
1601,73565,3872,7743,69694
1602,123422,14394,13781,124035
1603,130390,6780,13717,123453
1604,91292,13097,10438,93951
1605,76438,9310,8574,77174
1606,52373,11508,6388,57493
1607,89862,12637,10249,92250
1608,104106,12315,11642,104779
1609,125581,3709,12929,116361
1610,46041,2205,4824,43422
1611,95468,9839,10530,94777
1612,143845,14449,15829,142465
1613,130799,3504,13430,120873
1614,47708,9939,5764,51883
1615,115785,3999,11978,107806
1616,80982,7706,8868,79820
1617,136569,9983,14655,131897
1618,106804,7620,11442,102982
1619,135152,2284,13743,123693
1620,89246,3832,9307,83771
1621,45850,4444,5029,45265
1622,129237,13865,14310,128792
1623,96014,6195,10220,91989
1624,25690,14466,4015,36141
1625,110993,6651,11764,105880
1626,58961,4210,6317,56854
1627,122956,5861,12881,115936
1628,93479,10244,10372,93351
1629,130373,9773,14014,126132
1630,141078,6707,14778,133007
1631,144713,8293,15300,137706
1632,125933,6161,13209,118885
1633,49377,5878,5525,49730
1634,106109,8323,11443,102989
1635,121746,9910,13165,118491
1636,146361,10751,15711,141401
1637,60711,3084,6379,57416
1638,92319,7568,9988,89899
1639,57202,3614,6081,54735
1640,85270,6066,9133,82203
1641,45322,7779,5310,47791
1642,145383,7196,15257,137322
1643,46599,8516,5511,49604
1644,32169,12798,4496,40471
1645,89874,14120,10399,93595
1646,101733,9326,11105,99954
1647,138212,10855,14906,134161
1648,60907,4992,6589,59310
1649,83578,4120,8769,78929
1650,100377,12381,11275,101483
1651,109313,5989,11530,103772
1652,126836,12101,13893,125044
1653,89455,2167,9162,82460
1654,127242,12784,14002,126024
1655,119670,7204,12687,114187
1656,55005,4915,5992,53928
1657,73970,7131,8110,72991
1658,127264,4195,13145,118314
1659,77440,8744,8618,77566
1660,52348,8977,6132,55193
1661,66355,14630,8098,72887
1662,77185,3589,8077,72697
1663,130386,6489,13687,123188
1664,98075,6780,10485,94370
1665,81913,6131,8804,79240
1666,99911,10847,11075,99683
1667,106522,12306,11882,106946
1668,99507,14296,11380,102423
1669,147902,12985,16088,144799
1670,69509,13436,8294,74651
1671,51780,9853,6163,55470
1672,129333,5764,13509,121588
1673,79594,10213,8980,80827
1674,79776,13881,9365,84292
1675,88130,14277,10240,92167
1676,101315,2117,10343,93089
1677,93817,13404,10722,96499
1678,137828,12038,14986,134880
1679,101573,2586,10415,93744
1680,53366,6130,5949,53547
1681,127344,10462,13780,124026
1682,85624,5070,9069,81625
1683,45572,9800,5537,49835
1684,59833,3951,6378,57406
1685,133925,9308,14323,128910
1686,78471,3149,8162,73458
1687,88473,12545,10101,90917
1688,66299,6965,7326,65938
1689,112346,7540,11988,107898
1690,82916,9365,9228,83053
1691,72556,5524,7808,70272
1692,106416,5815,11223,101008
1693,141391,5909,14730,132570
1694,91858,8630,10048,90440
1695,99657,2562,10221,91998
1696,73621,13500,8712,78409
1697,64287,13596,7788,70095
1698,146248,7850,15409,138689
1699,98878,14223,11310,101791
1700,41510,2565,4407,39668
1701,126616,7493,13410,120699
1702,125730,3913,12964,116679
1703,61991,10705,7269,65427
1704,85709,5188,9089,81808
1705,57916,13028,7094,63850
1706,112972,3573,11654,104891
1707,30567,9359,3992,35934
1708,84438,9692,9413,84717
1709,126930,3258,13018,117170
1710,58346,8292,6663,59975
1711,92847,5238,9808,88277
1712,126085,4544,13062,117567
1713,137923,8389,14631,131681
1714,135135,7275,14241,128169
1715,118568,5839,12440,111967
1716,75934,12886,8882,79938
1717,101218,3220,10443,93995
1718,63628,9936,7356,66208
1719,58581,14388,7296,65673
1720,76249,9600,8584,77265
1721,73297,10285,8358,75224
1722,88203,14781,10298,92686
1723,108781,10645,11942,107484
1724,141679,12941,15462,139158
1725,141159,13161,15432,138888
1726,56573,4364,6093,54844
1727,63305,7570,7087,63788
1728,132308,8933,14124,127117
1729,37267,6984,4425,39826
1730,60275,11042,7131,64186
1731,99440,9399,10883,97956
1732,94965,12076,10704,96337
1733,136264,14479,15074,135669
1734,127684,2412,13009,117087
1735,48075,5666,5374,48367
1736,109958,10004,11996,107966
1737,52871,14085,6695,60261
1738,91483,14947,10643,95787
1739,46150,10444,5659,50935
1740,34202,6726,4092,36836
1741,140058,13540,15359,138239
1742,102282,4113,10639,95756
1743,76527,14006,9053,81480
1744,69974,14610,8458,76126
1745,124488,6794,13128,118154
1746,91379,14261,10564,95076
1747,61944,12721,7466,67199
1748,130230,8802,13903,125129
1749,145653,4971,15062,135562
1750,103600,6137,10973,98764
1751,31545,6883,3842,34586
1752,66196,4488,7068,63616
1753,76948,14608,9155,82401
1754,143480,14305,15778,142007
1755,116869,14202,13107,117964
1756,65401,5911,7131,64181
1757,123144,13530,13667,123007
1758,106066,14102,12016,108152
1759,68177,10742,7891,71028
1760,111710,9284,12099,108895
1761,70175,5035,7521,67689
1762,88665,8899,9756,87808
1763,67202,12014,7921,71295
1764,85361,7368,9272,83457
1765,138782,7150,14593,131339
1766,84687,14227,9891,89023
1767,120065,2678,12274,110469
1768,142444,13749,15619,140574
1769,70625,4276,7490,67411
1770,114990,12712,12770,114932
1771,105002,10157,11515,103644
1772,133638,14732,14837,133533
1773,53622,9176,6279,56519
1774,41992,7090,4908,44174
1775,60385,11179,7156,64408
1776,83226,8107,9133,82200
1777,53376,12121,6549,58948
1778,58778,8710,6748,60740
1779,139535,7326,14686,132175
1780,100042,4797,10483,94356
1781,83898,8845,9274,83469
1782,114502,11302,12580,113224
1783,27194,8328,3552,31970
1784,89174,6906,9608,86472
1785,121883,6475,12835,115523
1786,105598,10244,11584,104258
1787,76672,2777,7944,71505
1788,66743,3662,7040,63365
1789,99783,3592,10337,93038
1790,109511,8233,11774,105970
1791,82085,9620,9170,82535
1792,68150,10072,7822,70400
1793,132710,3179,13588,122301
1794,141429,10748,15217,136960
1795,142584,7465,15004,135045
1796,88831,9235,9806,88260
1797,39902,3817,4371,39348
1798,108363,12734,12109,108988
1799,136222,14573,15079,135716
1800,88578,14588,10316,92850
1801,120965,5420,12638,113747
1802,138501,14713,15321,137893
1803,74730,7160,8189,73701
1804,28105,10332,3843,34594
1805,92789,12247,10503,94533
1806,136630,2625,13925,125330
1807,96292,8644,10493,94443
1808,117380,14496,13187,118689
1809,127260,7748,13500,121508
1810,37287,8710,4599,41398
1811,87570,2267,8983,80854
1812,30708,9391,4009,36090
1813,64719,10913,7563,68069
1814,127549,6692,13424,120817
1815,130547,6610,13715,123442
1816,94360,11370,10573,95157
1817,144959,12951,15791,142119
1818,44799,9147,5394,48552
1819,46264,11677,5794,52147
1820,103832,5306,10913,98225
1821,76425,2073,7849,70649
1822,76192,7951,8414,75729
1823,44393,2495,4688,42200
1824,31933,11380,4331,38982
1825,80644,8180,8882,79942
1826,93147,8384,10153,91378
1827,29344,14076,4342,39078
1828,98724,11192,10991,98925
1829,103612,6128,10974,98766
1830,113402,4804,11820,106386
1831,39962,4696,4465,40193
1832,69865,5532,7539,67858
1833,88888,9588,9847,88629
1834,131777,13776,14555,130998
1835,138677,2039,14071,126645
1836,86434,10420,9685,87169
1837,39409,2843,4225,38027
1838,27857,14283,4214,37926
1839,87076,9759,9683,87152
1840,63797,12259,7605,68451
1841,61422,11443,7286,65579
1842,75531,8230,8376,75385
1843,86886,10250,9713,87423
1844,87067,10813,9788,88092
1845,42002,2127,4412,39717
1846,68857,4713,7357,66213
1847,70561,4040,7460,67141
1848,34266,13417,4768,42915
1849,81013,9511,9052,81472
1850,143599,14571,15817,142353
1851,29782,14766,4454,40094
1852,96140,9170,10531,94779
1853,53842,2722,5656,50908
1854,64089,3686,6777,60998
1855,25678,12759,3843,34594
1856,69943,13924,8386,75481
1857,64995,6349,7134,64210
1858,93922,7453,10137,91238
1859,149363,4941,15430,138874
1860,29419,8806,3822,34403
1861,79467,10963,9043,81387
1862,104055,2947,10700,96302
1863,71219,8095,7931,71383
1864,57532,8933,6646,59819
1865,147216,7140,15435,138921
1866,27355,2238,2959,26634
1867,59299,4773,6407,57665
1868,42372,11383,5375,48380
1869,130313,11525,14183,127655
1870,30003,12595,4259,38339
1871,132619,9228,14184,127663
1872,28470,12245,4071,36644
1873,59599,3691,6329,56961
1874,33257,4893,3815,34335
1875,149953,4668,15462,139159
1876,142392,5222,14761,132853
1877,142741,2852,14559,131034
1878,124247,10853,13510,121590
1879,68605,2864,7146,64323
1880,31844,12071,4391,39524
1881,139641,9087,14872,133856
1882,63627,2231,6585,59273
1883,149233,10778,16001,144010
1884,124367,14813,13918,125262
1885,146364,9868,15623,140609
1886,29551,9968,3951,35568
1887,31506,4431,3593,32344
1888,111519,13505,12502,112522
1889,99705,14182,11388,102499
1890,86873,3914,9078,81709
1891,74199,11378,8557,77020
1892,107737,12890,12062,108565
1893,67144,12120,7926,71338
1894,26761,8615,3537,31839
1895,62506,2881,6538,58849
1896,49523,14230,6375,57378
1897,88570,10158,9872,88856
1898,103223,13496,11671,105048
1899,58511,8983,6749,60745
1900,102234,9277,11151,100360
1901,103307,5604,10891,98020
1902,27737,3055,3079,27713
1903,115690,9612,12530,112772
1904,45551,12575,5812,52314
1905,46703,6183,5288,47598
1906,86904,4432,9133,82203
1907,106824,5216,11204,100836
1908,28115,12924,4103,36936
1909,33171,13029,4620,41580
1910,73293,13578,8687,78184
1911,45483,11119,5660,50942
1912,128882,3565,13244,119203
1913,113584,6675,12025,108234
1914,101787,9747,11153,100381
1915,49889,8684,5857,52716
1916,133772,13116,14688,132200
1917,42857,6483,4934,44406
1918,28667,11490,4015,36142
1919,111160,2565,11372,102353
1920,68275,13324,8159,73440
1921,138725,5989,14471,130243
1922,109336,5290,11462,103164
1923,130541,13206,14374,129373
1924,56376,6869,6324,56921
1925,139237,6498,14573,131162
1926,62796,5586,6838,61544
1927,135572,12624,14819,133377
1928,88106,6196,9430,84872
1929,147874,4477,15235,137116
